City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Koroni,GR,36.8,21.95,61.0,87,0,1.5,clear sky
242,Grenville,GD,12.12,-61.62,78.8,88,75,6.93,broken clouds
243,Kungurtug,RU,50.6,97.52,27.84,80,40,1.28,scattered clouds
244,Can,TR,40.03,27.05,48.2,61,0,11.41,clear sky
245,Chokurdakh,RU,70.63,147.92,-0.53,93,100,12.41,light snow
246,San Pedro,PH,14.35,121.02,86.0,74,75,4.7,broken clouds
247,Fairbanks,US,64.84,-147.72,-0.99,83,20,2.3,few clouds
248,Chake Chake,TZ,-5.25,39.77,74.97,83,3,4.03,clear sky
249,Kihei,US,20.79,-156.47,84.2,62,40,11.41,scattered clouds
250,Chumikan,RU,54.72,135.31,19.69,96,100,9.33,light snow
251,Cidreira,BR,-30.18,-50.21,61.47,64,2,6.08,clear sky
252,Khao Wong,TH,16.7,104.09,80.6,69,0,4.7,clear sky
253,Aklavik,CA,68.22,-135.01,12.2,92,61,2.24,broken clouds
254,Belmonte,BR,-15.86,-38.88,68.0,88,75,6.93,moderate rain
255,Achutupo,PA,9.2,-77.98,78.69,82,97,12.77,overcast clouds
256,Yarada,IN,17.65,83.27,78.8,88,0,3.36,mist
257,Verkhneyarkeyevo,RU,55.45,54.31,30.24,96,0,2.71,clear sky
258,Santa Rosa,PH,14.31,121.11,86.0,74,75,4.7,broken clouds
259,San Ramon,US,37.78,-121.98,69.8,36,1,3.36,smoke
260,Pacifica,US,37.61,-122.49,64.99,55,75,11.41,broken clouds
261,Mahon,ES,39.89,4.27,62.6,88,0,8.05,clear sky
262,Clyde River,CA,70.47,-68.59,6.8,84,75,4.7,broken clouds
263,Contai,IN,21.78,87.75,81.45,81,60,8.52,broken clouds
264,Kutum,SD,14.2,24.67,68.9,35,0,16.24,clear sky
265,Broken Hill,AU,-31.95,141.43,82.4,24,27,9.17,scattered clouds
266,Ellensburg,US,47.0,-120.55,42.01,72,0,0.83,clear sky
267,Topolobampo,MX,25.6,-109.05,79.0,74,46,7.0,scattered clouds
268,Torbay,CA,47.67,-52.73,37.99,74,5,16.11,clear sky
269,Saint-Augustin,CA,51.23,-58.65,38.17,79,100,16.31,overcast clouds
270,Nemuro,JP,43.32,145.57,62.6,67,75,21.92,light intensity shower rain
271,Lazarev,RU,52.23,141.51,42.71,74,100,16.8,overcast clouds
272,Adrar,MR,20.5,-10.07,76.48,19,100,10.27,overcast clouds
273,Acari,PE,-15.43,-74.62,64.51,71,98,2.86,overcast clouds
274,Joshimath,IN,30.57,79.57,58.3,32,0,1.39,clear sky
275,Richards Bay,ZA,-28.78,32.04,64.15,95,100,6.82,moderate rain
276,Dali,CN,25.7,100.18,63.68,82,96,2.66,overcast clouds
277,Natal,BR,-5.79,-35.21,80.6,83,75,9.17,broken clouds
278,Oron,NG,4.83,8.23,75.99,92,99,2.26,overcast clouds
279,Faanui,PF,-16.48,-151.75,79.97,81,0,18.32,light rain
280,Forest Hills,US,42.96,-85.49,34.0,73,84,4.0,broken clouds
281,Mount Isa,AU,-20.73,139.5,93.2,9,0,8.05,clear sky
282,Cortez,US,37.35,-108.59,44.6,36,1,6.93,clear sky
283,Oistins,BB,13.07,-59.53,82.4,78,40,23.04,scattered clouds
284,Namalenga,TZ,-10.95,39.1,68.68,90,12,1.52,few clouds
285,Lavrentiya,RU,65.58,-171.0,22.1,87,21,6.89,few clouds
286,Mwinilunga,ZM,-11.74,24.43,64.13,52,86,2.33,overcast clouds
287,Qaqortoq,GL,60.72,-46.03,23.0,73,0,4.7,clear sky
288,Blairgowrie,GB,56.59,-3.34,46.0,91,44,5.99,scattered clouds
289,Mosalsk,RU,54.49,34.98,43.9,95,100,10.56,overcast clouds
290,Ahipara,NZ,-35.17,173.17,70.29,73,100,9.22,overcast clouds
291,Poum,NC,-20.23,164.02,78.84,75,59,11.3,light rain
292,Praia Da Vitoria,PT,38.73,-27.07,62.6,88,75,15.68,broken clouds
293,Vostok,RU,46.49,135.88,33.75,89,66,7.38,broken clouds
294,Wanning,CN,18.8,110.4,78.42,72,66,12.8,broken clouds
295,Luderitz,NA,-26.65,15.16,59.85,75,100,4.43,overcast clouds
296,Mar Del Plata,AR,-38.0,-57.56,60.01,93,0,4.7,clear sky
297,Inhambane,MZ,-23.86,35.38,69.64,76,68,5.79,broken clouds
298,Ithaca,US,42.44,-76.5,35.01,94,75,11.41,broken clouds
299,Srednekolymsk,RU,67.45,153.68,-2.69,91,88,7.54,overcast clouds
300,Nanortalik,GL,60.14,-45.24,32.02,89,0,39.35,clear sky
301,Magam,IN,34.08,74.58,53.24,40,0,0.98,clear sky
302,Zhezkazgan,KZ,47.8,67.71,42.1,52,100,6.06,overcast clouds
303,Ilulissat,GL,69.22,-51.1,19.4,67,100,9.17,overcast clouds
304,Mogadishu,SO,2.04,45.34,78.82,80,51,6.96,light rain
305,Mangaratiba,BR,-22.96,-44.04,64.4,82,0,3.36,clear sky
306,Chuy,UY,-33.7,-53.46,51.93,86,0,3.24,clear sky
307,Pacific Grove,US,36.62,-121.92,62.01,77,1,4.7,clear sky
308,Yar-Sale,RU,66.83,70.83,24.49,97,74,12.33,broken clouds
309,Parnamirim,BR,-5.92,-35.26,80.6,83,75,9.17,broken clouds
310,Kashi,CN,39.45,75.98,41.0,41,0,8.95,clear sky
311,Dicabisagan,PH,17.08,122.42,80.42,83,100,2.51,light rain
312,Abha,SA,18.22,42.51,55.4,34,0,3.69,clear sky
313,Najran,SA,17.49,44.13,55.4,32,0,0.51,clear sky
314,Pangnirtung,CA,66.15,-65.71,8.1,83,74,5.17,broken clouds
315,Purranque,CL,-40.92,-73.17,55.4,87,0,4.5,clear sky
316,Grajau,BR,-5.82,-46.14,78.64,63,69,1.34,broken clouds
317,Storm Lake,US,42.64,-95.21,33.8,43,1,5.82,clear sky
318,Bilecik,TR,40.0,30.17,32.0,100,0,2.24,clear sky
319,Norman Wells,CA,65.28,-126.83,3.2,84,75,3.36,broken clouds
320,Kodinsk,RU,58.69,99.18,31.82,97,100,10.27,overcast clouds
321,Cap-Aux-Meules,CA,47.38,-61.86,50.0,81,100,17.22,overcast clouds
322,Saint Anthony,US,45.02,-93.22,32.0,58,1,6.93,clear sky
323,Aljezur,PT,37.32,-8.8,62.78,89,71,6.2,broken clouds
324,Horsham,GB,51.06,-0.33,62.6,88,75,23.04,broken clouds
325,Dzaoudzi,YT,-12.79,45.27,73.4,88,0,4.7,clear sky
326,Lebedinyy,RU,58.52,125.52,-6.92,92,100,5.08,overcast clouds
327,Abu Zabad,SD,12.35,29.25,76.69,29,42,9.44,scattered clouds
328,Hajnowka,PL,52.74,23.58,39.99,85,100,1.01,overcast clouds
329,Takoradi,GH,4.88,-1.76,77.36,90,67,5.79,broken clouds
330,Angoche,MZ,-16.23,39.91,77.07,84,51,5.3,broken clouds
331,Geraldton,AU,-28.77,114.6,66.2,68,40,16.11,scattered clouds
332,Isangel,VU,-19.55,169.27,86.0,66,75,11.41,broken clouds
333,Kerouane,GN,9.27,-9.02,70.25,65,0,3.67,clear sky
334,Chambersburg,US,39.94,-77.66,41.0,44,40,25.28,scattered clouds
335,Shimoda,JP,34.67,138.95,69.8,73,75,12.75,broken clouds
336,Nuuk,GL,64.18,-51.72,23.0,100,6,5.82,light snow
337,Kaitangata,NZ,-46.28,169.85,54.0,61,91,11.01,overcast clouds
338,Sur,OM,22.57,59.53,73.38,23,0,1.12,clear sky
339,Kadnikov,RU,59.5,40.34,26.64,98,0,4.05,clear sky
340,Kahului,US,20.89,-156.47,84.2,62,40,11.41,scattered clouds
341,Kilkenny,IE,52.65,-7.25,46.0,92,100,9.22,overcast clouds
342,Bukachacha,RU,52.98,116.92,17.35,76,18,7.05,few clouds
343,Flin Flon,CA,54.77,-101.86,34.0,93,94,7.56,overcast clouds
344,Melfi,IT,41.0,15.65,46.4,87,75,13.87,broken clouds
345,Sawtell,AU,-30.38,153.1,71.6,64,75,23.04,broken clouds
346,Jalu,LY,29.03,21.55,61.23,69,1,5.21,clear sky
347,Grand Gaube,MU,-20.01,57.66,69.01,67,63,3.0,broken clouds
348,Karlskoga,SE,59.33,14.52,53.01,87,100,16.11,light rain
349,Husavik,IS,66.04,-17.34,39.2,51,90,6.93,overcast clouds
350,Leningradskiy,RU,69.38,178.42,16.92,83,82,4.45,broken clouds
351,Atar,MR,20.52,-13.05,79.29,19,100,8.19,overcast clouds
352,Cassilandia,BR,-19.11,-51.73,69.46,58,0,5.79,clear sky
353,Komsomolskiy,UZ,40.43,71.72,39.2,41,100,4.7,overcast clouds
354,Hofn,IS,64.25,-15.21,36.32,74,0,13.6,clear sky
355,Williamsburg,US,37.27,-76.71,57.2,87,40,10.29,scattered clouds
356,Heyang,CN,26.1,107.47,47.86,86,100,7.18,overcast clouds
357,Ulety,RU,51.36,112.48,19.76,84,69,9.69,broken clouds
358,Boyuibe,BO,-20.42,-63.28,64.36,42,5,4.38,clear sky
359,Mogoytuy,RU,51.28,114.92,20.3,81,0,12.44,clear sky
360,Cairns,AU,-16.92,145.77,91.0,43,0,12.75,clear sky
361,Mrkonjic Grad,BA,44.42,17.09,46.4,100,28,1.12,fog
362,Birjand,IR,32.87,59.22,33.8,15,0,4.7,clear sky
363,Zhangye,CN,38.93,100.45,47.82,43,0,1.99,clear sky
364,Prado,BR,-17.34,-39.22,69.55,92,100,7.9,light rain
365,Beloha,MG,-25.17,45.05,67.51,79,0,15.3,clear sky
